Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType
2023-08-1,11.5,14.9,0.0,1.4,NNW,35.0,02:08,13.3,67,7,W,11,14.7,54,7.0,SSW,9,Windy
2023-08-2,5.8,17.1,0.0,8.1,N,43.0,14:23,7.9,83,6,NNE,11,16.8,50,1.0,N,20,Windy
2023-08-6,8.6,13.4,0.0,0.8,S,20.0,13:12,9.9,91,8,WNW,4,12.2,77,7.0,SSW,11,Cloudy
2023-08-7,9.0,13.7,0.0,2.6,SW,19.0,13:06,10.6,84,7,NA,0,13.3,63,7.0,SSW,11,Cloudy
2023-08-12,11.0,16.0,0.0,2.2,NNW,33.0,04:39,11.2,78,7,N,13,12.9,87,7.0,S,2,Windy
2023-08-17,5.3,12.5,0.0,0.1,N,44.0,13:25,11.1,61,7,N,15,12.1,53,7.0,N,17,Windy
2023-08-18,8.9,13.5,5.4,4.0,WSW,37.0,10:57,10.1,77,7,W,13,11.9,55,4.0,SSW,17,Windy
2023-08-19,9.4,18.2,0.2,4.2,W,35.0,12:19,13.5,76,7,WNW,9,17.4,60,7.0,W,13,Windy
2023-08-21,11.5,17.8,0.0,6.2,N,48.0,12:13,14.6,73,6,N,13,16.4,64,6.0,N,24,Windy
2023-08-22,13.2,14.3,0.0,0.6,NNW,39.0,01:35,14.3,77,8,W,7,11.7,97,8.0,SSW,13,Cloudy
2023-08-24,8.6,17.9,0.0,10.1,N,39.0,14:20,11.4,72,5,N,9,16.8,48,4.0,N,22,Windy
2023-08-25,11.1,19.8,0.0,7.8,N,39.0,07:38,13.7,63,6,N,15,18.6,43,6.0,S,9,Windy
2023-08-26,11.1,15.5,0.0,0.4,SSE,22.0,04:27,12.1,65,7,ESE,9,14.6,62,7.0,SW,7,Cloudy
2023-08-29,10.8,18.4,0.2,1.3,N,41.0,18:12,16.6,66,7,N,15,17.5,66,7.0,N,17,Windy
2023-08-30,12.7,14.9,3.8,2.7,N,44.0,02:19,12.8,100,7,SW,6,12.1,84,7.0,W,13,Rainy
2023-09-4,9.7,21.6,0.0,4.3,N,69.0,11:21,18.8,39,6,N,13,20.7,41,7.0,N,19,Windy
2023-09-5,6.7,15.1,2.8,6.2,NW,48.0,10:52,10.5,72,6,NNW,15,14.3,46,4.0,WSW,9,Windy
2023-09-8,8.4,11.7,4.0,0.0,NNW,70.0,10:21,11.2,60,7,NNW,19,11.5,62,7.0,WNW,17,Rainy
2023-09-12,10.2,23.3,0.0,9.0,NW,28.0,11:29,15.9,57,7,NE,9,22.3,33,2.0,S,9,Sunny
2023-09-13,9.2,25.1,0.0,10.1,NW,20.0,11:58,15.3,64,7,NNE,6,24.7,33,7.0,NA,0,Sunny
2023-09-14,10.5,23.9,0.0,8.2,N,44.0,13:58,18.4,63,7,N,17,23.3,37,7.0,N,20,Sunny
2023-09-15,15.1,22.4,0.0,10.0,N,41.0,00:08,18.5,48,5,WNW,4,20.7,43,1.0,SSW,13,Sunny
2023-09-16,9.6,25.0,0.0,11.0,NNW,48.0,14:43,17.8,51,0,N,17,24.3,32,1.0,NNW,24,Sunny
2023-09-17,12.6,23.1,0.0,10.1,NNW,30.0,10:26,18.4,54,1,NW,9,22.2,43,3.0,S,11,Sunny
2023-09-20,13.2,19.0,0.0,0.7,W,43.0,13:40,14.8,66,7,WNW,13,16.4,33,7.0,WNW,9,Cloudy
2023-09-24,7.2,23.8,0.0,11.3,NNE,39.0,13:29,13.4,76,0,NE,9,23.2,34,0.0,N,20,Sunny
2023-09-25,13.4,23.4,0.0,8.3,SSW,41.0,11:32,20.0,43,3,NW,7,17.2,65,1.0,SSW,17,Sunny
2023-09-27,10.2,17.3,0.0,6.8,S,35.0,14:59,12.7,73,7,WNW,4,15.6,66,5.0,SSW,17,Windy
2023-09-29,8.0,27.8,0.0,10.9,NNW,28.0,11:12,16.4,50,1,NE,9,26.9,17,1.0,SSW,7,Sunny
2023-09-30,15.4,29.7,0.0,10.6,N,48.0,12:58,21.8,29,1,N,19,28.8,19,1.0,NNW,20,Sunny
2023-10-2,7.4,28.5,0.0,11.4,NNW,41.0,13:17,10.3,77,1,NNE,11,25.8,27,2.0,NNW,19,Sunny
2023-10-3,10.3,19.2,3.0,0.0,N,48.0,02:58,19.0,81,7,N,17,16.4,94,8.0,WSW,7,Rainy
2023-10-4,10.5,13.5,22.8,0.1,S,37.0,22:44,11.3,100,8,S,9,12.7,77,7.0,S,15,Rainy
2023-10-5,8.8,16.5,6.8,2.7,SSW,39.0,22:15,11.3,63,4,W,11,16.0,54,7.0,WNW,11,Rainy
2023-10-6,10.0,15.2,7.2,8.7,SSE,37.0,15:44,11.7,64,6,SSW,15,14.2,55,4.0,SSW,17,Windy
2023-10-7,7.7,14.3,0.4,1.6,SSE,30.0,15:06,11.6,61,7,SSE,2,13.5,57,7.0,SSW,13,Cloudy
2023-10-11,6.9,26.2,0.0,11.5,N,43.0,16:06,11.8,77,0,NE,11,25.6,37,3.0,NNW,24,Sunny
2023-10-12,11.8,16.1,1.2,2.3,N,46.0,04:02,14.5,87,8,SW,9,15.5,57,6.0,SW,13,Windy
