,Date,MinTemp,MaxTemp,Precipitation,Sunshine,MaxWindDir,MaxWindSpeed,MaxWindTime,9amTemp,9amHumidity,9amCloud,9amWindDir,9amWindSpeed,3pmTemp,3pmHumidity,3pmCloud,3pmWindDir,3pmWindSpeed,WeatherType,Day,Month,MaxTemp_avg,MinTemp_avg,Wind_avg,Cloud_avg,Humidity_avg,PrevDayWind,PrevDayPrecip,PrevDayCloud,PrevDaySunshine,PrevDayHumidity,Week_Day_Max,Week_Day_Min
0,2023-08-19,9.4,18.2,0.2,4.2,W,35.0,12:19,13.5,76,7,WNW,9,17.4,60,7.0,W,13,Windy,19,8,14.442857142857141,8.585714285714285,33.0,7.0,68.0,37.0,5.4,5.5,4.0,66.0,0.7935635792778649,0.9133738601823708
1,2023-08-21,11.5,17.8,0.0,6.2,N,48.0,12:13,14.6,73,6,N,13,16.4,64,6.0,N,24,Windy,21,8,14.914285714285713,8.285714285714286,33.0,6.0,68.5,35.0,0.2,7.0,4.2,68.0,0.8378812199036917,0.7204968944099379
2,2023-08-22,13.2,14.3,0.0,0.6,NNW,39.0,01:35,14.3,77,8,W,7,11.7,97,8.0,SSW,13,Cloudy,22,8,15.014285714285714,9.1,33.714285714285715,8.0,87.0,48.0,0.0,6.0,6.2,68.5,1.0499500499500498,0.6893939393939394
3,2023-08-24,8.6,17.9,0.0,10.1,N,39.0,14:20,11.4,72,5,N,9,16.8,48,4.0,N,22,Windy,24,8,15.142857142857142,9.757142857142856,36.42857142857143,4.5,60.0,39.0,0.0,8.0,0.6,87.0,0.8459696727853153,1.1345514950166113
4,2023-08-25,11.1,19.8,0.0,7.8,N,39.0,07:38,13.7,63,6,N,15,18.6,43,6.0,S,9,Windy,25,8,15.742857142857144,9.700000000000001,39.285714285714285,6.0,53.0,39.0,0.0,4.5,10.1,60.0,0.7950937950937951,0.873873873873874
5,2023-08-26,11.1,15.5,0.0,0.4,SSE,22.0,04:27,12.1,65,7,ESE,9,14.6,62,7.0,SW,7,Cloudy,26,8,16.285714285714285,9.714285714285714,40.142857142857146,7.0,63.5,39.0,0.0,6.0,7.8,53.0,1.0506912442396312,0.8751608751608752
6,2023-08-29,10.8,18.4,0.2,1.3,N,41.0,18:12,16.6,66,7,N,15,17.5,66,7.0,N,17,Windy,29,8,16.714285714285715,10.542857142857143,37.0,7.0,66.0,22.0,0.0,7.0,0.4,63.5,0.908385093167702,0.9761904761904762
7,2023-08-30,12.7,14.9,3.8,2.7,N,44.0,02:19,12.8,100,7,SW,6,12.1,84,7.0,W,13,Rainy,30,8,17.414285714285715,10.814285714285713,37.57142857142857,7.0,92.0,41.0,0.2,7.0,1.3,66.0,1.168744007670182,0.8515185601799775
8,2023-09-04,9.7,21.6,0.0,4.3,N,69.0,11:21,18.8,39,6,N,13,20.7,41,7.0,N,19,Windy,4,9,16.942857142857143,11.285714285714286,38.857142857142854,6.5,40.0,44.0,3.8,7.0,2.7,92.0,0.7843915343915343,1.1634756995581739
9,2023-09-05,6.7,15.1,2.8,6.2,NW,48.0,10:52,10.5,72,6,NNW,15,14.3,46,4.0,WSW,9,Windy,5,9,17.485714285714284,11.028571428571428,41.857142857142854,5.0,59.0,69.0,0.0,6.5,4.3,40.0,1.1579943235572374,1.6460554371002132
10,2023-09-08,8.4,11.7,4.0,0.0,NNW,70.0,10:21,11.2,60,7,NNW,19,11.5,62,7.0,WNW,17,Rainy,8,9,17.599999999999998,10.1,43.142857142857146,7.0,61.0,48.0,2.8,5.0,6.2,59.0,1.5042735042735043,1.2023809523809523
11,2023-09-12,10.2,23.3,0.0,9.0,NW,28.0,11:29,15.9,57,7,NE,9,22.3,33,2.0,S,9,Sunny,12,9,16.714285714285715,10.071428571428571,47.57142857142857,4.5,45.0,70.0,4.0,7.0,0.0,61.0,0.7173513182096873,0.9873949579831933
12,2023-09-14,10.5,23.9,0.0,8.2,N,44.0,13:58,18.4,63,7,N,17,23.3,37,7.0,N,20,Sunny,14,9,18.585714285714285,9.671428571428573,45.714285714285715,7.0,50.0,20.0,0.0,7.0,10.1,48.5,0.7776449491930664,0.9210884353741497
13,2023-09-15,15.1,22.4,0.0,10.0,N,41.0,00:08,18.5,48,5,WNW,4,20.7,43,1.0,SSW,13,Sunny,15,9,19.37142857142857,9.62857142857143,46.142857142857146,3.0,45.5,44.0,0.0,7.0,8.2,50.0,0.8647959183673469,0.6376537369914854
14,2023-09-16,9.6,25.0,0.0,11.0,NNW,48.0,14:43,17.8,51,0,N,17,24.3,32,1.0,NNW,24,Sunny,16,9,20.442857142857143,9.971428571428572,45.714285714285715,0.5,41.5,41.0,0.0,3.0,10.0,45.5,0.8177142857142857,1.0386904761904763
15,2023-09-17,12.6,23.1,0.0,10.1,NNW,30.0,10:26,18.4,54,1,NW,9,22.2,43,3.0,S,11,Sunny,17,9,20.928571428571427,9.957142857142857,42.714285714285715,2.0,48.5,48.0,0.0,0.5,11.0,41.5,0.9059987631416202,0.790249433106576
16,2023-09-20,13.2,19.0,0.0,0.7,W,43.0,13:40,14.8,66,7,WNW,13,16.4,33,7.0,WNW,9,Cloudy,20,9,22.071428571428573,10.799999999999999,40.142857142857146,7.0,49.5,30.0,0.0,2.0,10.1,48.5,1.161654135338346,0.8181818181818181
17,2023-09-24,7.2,23.8,0.0,11.3,NNE,39.0,13:29,13.4,76,0,NE,9,23.2,34,0.0,N,20,Sunny,24,9,23.11428571428571,11.485714285714284,36.285714285714285,0.0,55.0,43.0,0.0,7.0,0.7,49.5,0.9711884753901558,1.595238095238095
18,2023-09-25,13.4,23.4,0.0,8.3,SSW,41.0,11:32,20.0,43,3,NW,7,17.2,65,1.0,SSW,17,Sunny,25,9,23.185714285714287,11.057142857142859,37.857142857142854,2.0,54.0,39.0,0.0,0.0,11.3,55.0,0.990842490842491,0.8251599147121537
19,2023-09-27,10.2,17.3,0.0,6.8,S,35.0,14:59,12.7,73,7,WNW,4,15.6,66,5.0,SSW,17,Windy,27,9,22.942857142857143,11.657142857142857,40.857142857142854,6.0,69.5,41.0,0.0,2.0,8.3,54.0,1.3261767134599505,1.1428571428571428
